name,category,country,priority
Nomeco,Grossist/distribution,Danmark,Høj
Fertin Pharma,Pharma-fremstilling,Danmark,Høj
Amgros,Offentlig/nær aktør,Danmark,Høj
Scanpharm,Grossist/distribution,Danmark,Middel
2care4 Generics ApS,Parallelimport/generics,Danmark,Middel
AJ Vaccines A/S,Vaccine/biotech,Danmark,Høj
ALK-Abelló A/S,Pharma/biotech,Danmark,Middel
Bavarian Nordic A/S,Vaccine/biotech,Danmark,Høj
Biofac A/S,Pharma-fremstilling,Danmark,Middel
FUJIFILM Diosynth Biotechnologies Denmark ApS,Biologics/CDMO,Danmark,Høj
Glostrup Apotek,Apotek/produktion,Danmark,Lav
H. Lundbeck A/S,Pharma-fremstilling,Danmark,Høj
LEO Pharma A/S,Pharma-fremstilling,Danmark,Høj
Orifarm group,Parallelimport/generics,Danmark,Høj
Specific Pharma A/S,Pharma/distribution,Danmark,Middel
Tjellesen Max Jenne A/S,Grossist/distribution,Danmark,Middel
Ferring Pharmaceuticals A/S,Pharma-fremstilling,Danmark,Høj
Novo Nordisk A/S,Pharma-fremstilling,Danmark,Høj
